No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
97	0x0000000000000000000000000000000000000000	0x78720b400a04f502e1438722d6addc76b97d69a9	1909.9332	13143939.428251864579484315	3913154	0	0xff06ea8e8a9160e7fb01228e804e703eb8c4ceb0803223dc6114e9e9b837c09d
98	0x0000000000000000000000000000000000000000	0xa63ed2b096212c8032750befaf8eb08709f1251b	22497.96	13166437.388251864579484315	3913154	1	0xba6ac232f29c9e82f5ac89d7e70685850ef8c8f5a82805d87765b97d80f4f704
99	0x0000000000000000000000000000000000000000	0x5e1d61e07e982aedd99cfe1fd72cbd82f0bc2d35	95.736	13166533.124251864579484315	3913154	2	0x6fb122d57f3e1781eb84b20c778870b1c0c2e14e67afff70ed186ab6d1ab1697
100	0x0000000000000000000000000000000000000000	0x00cdcf1fa2d2cc421925c83fdbce88e414559b8d	1292.436	13167825.560251864579484315	3913154	3	0x33adf240241810f94802567c64e0a0c0cfee48e03655ff4fbac8bdf2e17ffd9a
101	0x0000000000000000000000000000000000000000	0x49a408f1ee8951c509db64be3cd47a0faf81d2a6	478680	13646505.560251864579484315	3913154	4	0xb272a66c0c163ed33212185641e48276140b5e68d66c940b85d08356885c056f
102	0x0000000000000000000000000000000000000000	0x4681b4a6e40bca139f008fb3fcdfa7bfa4bb5b57	478.68	13646984.240251864579484315	3913154	24	0x12250834272be2ec0663e338d523b0753520b20b219259c879b7c2641a17299a
103	0x0000000000000000000000000000000000000000	0x93d79977ef117007a0028218d99dd2caebd70b55	23934	13670918.240251864579484315	3913154	25	0x1852601635fd392563c9991a9bb7921deec1a729088cdc28922e724763341a5c
104	0x0000000000000000000000000000000000000000	0xe997070aba8a8e579b6c4dfb6aca219b06f0bebd	718.02	13671636.260251864579484315	3913154	26	0xd8e1df18f188fc4b2a593df062e21fe53fb1a941d18ff3a5feda58d717578eca
105	0x0000000000000000000000000000000000000000	0x5daa1388ab4f4bc474f4d569acb6ddf0b2d38505	48.1506413928	13671684.410893257379484315	3913154	27	0x531930e6617f90e71de3a905be4d37eb0a6d9ded2ea7e71930ce0607dbb167a5
106	0x0000000000000000000000000000000000000000	0xb40c6e480893e4e75b73bbb812befeda9d09d3eb	4784.4066	13676468.817493257379484315	3913154	28	0xcb9db450a8fc9f2dc9d00116a377921a84e685072c3b46e898fd421aa6aca80b
107	0x0000000000000000000000000000000000000000	0x62895b65f36bddf1373b363dbd7f7696e0fd2ced	28720.8	13705189.617493257379484315	3913154	29	0x5743317236aee0f201d55807f8abbb960dd3a653344a77a833a6ea12fd46fdc9
108	0x0000000000000000000000000000000000000000	0xa2f632faaa7ef48e70bbcfa33595557d5d960f5c	3494.364	13708683.981493257379484315	3913154	30	0x13afffe5246f52b70c4d335d881eb1264f036eea29f5b38b2a9db8d7ffb0698c
109	0x0000000000000000000000000000000000000000	0xf6131acf10adb4c1d42a5aa380503081fa6a4fe9	95.736	13708779.717493257379484315	3913154	31	0xa54de0c01bdf83e6fc40474d18a54f104a41fa5e02edfd6cdf2138f3d3363ff5
110	0x0000000000000000000000000000000000000000	0xb950a3638d2ba14b2fa64bc8999f0f4b59850216	5744.4256674	13714524.143160657379484315	3913155	3	0x9a1c7959fe89f9c7219fc74d8ea90e926be787e755f763de421f6bc41cb1a933
111	0x0000000000000000000000000000000000000000	0xfccbe6f6f2e42bbcd5d6fecc1ad2184a90cb734e	382.944	13714907.087160657379484315	3913155	5	0xa0abcf4f1f8c5756097bbe4b97cde6d7d811ba18b25266219841012722631ad9
112	0x0000000000000000000000000000000000000000	0x3a2be3642a8c64b4b2884857dcfd7668c411ff40	1005.228	13715912.315160657379484315	3913155	6	0xa976685f2e2c48bdd19d05eaa94687de427839f3dedc7e816cb07b64c23695b3
